Player,Playing_Role,batting_rating,bowling_rating,form_rating
Suryakumar Yadav,batsman,74.78733333333334,60.0,67.39366666666666
Rohit Sharma,batsman,55.62533333333333,60.0,57.812666666666665
Tim David,allrounder,63.99333333333334,10.838181818181818,37.41575757575758
Dewald Brevis,allrounder,0.0,60.0,30.0
Jaydev Unadkat,bowler,0.0,28.92,14.46
Ramandeep Singh,batsman,0.0,60.0,30.0
Hrithik Shokeen,allrounder,0.0,60.0,30.0
Daniel Sams,allrounder,61.492,9.48,35.486
Sherfane Rutherford,allrounder,38.30066666666667,18.48,28.390333333333338
Anmolpreet Singh,batsman,0.0,60.0,30.0
Murugan Ashwin,bowler,0.0,60.0,30.0
Fabian Allen,allrounder,46.526,27.773793103448273,37.14989655172414
Kumar Kartikeya Singh,allrounder,0.0,60.0,30.0
Tristan Stubbs,batsman,56.908,60.0,58.454
Jasprit Bumrah,bowler,0.0,38.07661016949153,19.038305084745765
Riley Meredith,bowler,0.0,24.119999999999997,12.059999999999999
Tymal Mills,bowler,0.0,23.62615384615385,11.813076923076926
Basil Thampi,bowler,0.0,60.0,30.0
Mayank Markande,bowler,0.0,13.5,6.75
Shikhar Dhawan,batsman,50.44800000000001,60.0,55.224000000000004
Liam Livingstone,allrounder,52.79600000000001,22.650000000000002,37.723000000000006
Jonny Bairstow,batsman,53.09133333333334,60.0,56.54566666666667
Jitesh Sharma,batsman,0.0,60.0,30.0
Bhanuka Rajapaksa,batsman,50.18733333333333,60.0,55.093666666666664
Mayank Agarwal,batsman,0.0,60.0,30.0
Shahrukh Khan,batsman,0.0,60.0,30.0
Rahul Chahar,bowler,0.0,31.96,15.98
Odean Smith,allrounder,45.342666666666666,16.612173913043478,30.977420289855072
Kagiso Rabada,bowler,0.0,24.495555555555555,12.247777777777777
Rishi Dhawan,allrounder,13.333333333333334,12.0,12.666666666666668
Harpreet Brar,allrounder,0.0,60.0,30.0
Arshdeep Singh,bowler,0.0,33.253846153846155,16.626923076923077
Prabhsimran Singh,batsman,0.0,60.0,30.0
Rajangad Bawa,allrounder,0.0,60.0,30.0
Vaibhav Arora,bowler,0.0,60.0,30.0
Prerak Mankad,batsman,0.0,60.0,30.0
Nathan Ellis,bowler,0.0,66.6,33.3
Sandeep Sharma,bowler,0.0,4.920000000000002,2.460000000000001
Faf Du Plessis,batsman,57.15533333333333,60.0,58.577666666666666
Virat Kohli,batsman,68.436,60.0,64.218
Rajat Patidar,batsman,0.0,60.0,30.0
Dinesh Karthik,batsman,53.86,60.0,56.93
Glenn Maxwell,allrounder,57.30733333333333,24.10363636363636,40.70548484848484
Shahbaz Ahmed,allrounder,0.0,60.0,30.0
Anuj Rawat,batsman,0.0,60.0,30.0
Mahipal Lomror,allrounder,0.0,60.0,30.0
Suyash S Prabhudessai,batsman,0.0,60.0,30.0
Harshal Patel,allrounder,43.72200000000001,23.045,33.383500000000005
Wanindu Hasaranga,allrounder,40.63133333333333,44.38867924528302,42.51000628930818
Mohammed Siraj,bowler,0.0,25.485000000000003,12.742500000000001
Josh Hazlewood,bowler,0.0,35.07951219512195,17.539756097560975
David Willey,allrounder,43.879333333333335,29.310697674418606,36.59501550387597
Akash Deep,bowler,0.0,60.0,30.0
Jos Buttler,batsman,59.289333333333346,60.0,59.64466666666667
Sanju Samson,batsman,47.716666666666676,60.0,53.858333333333334
Devdutt Padikkal,batsman,38.06666666666667,60.0,49.03333333333333
Shimron Hetmyer,batsman,44.160666666666664,60.0,52.08033333333333
Yashasvi Jaiswal,batsman,0.0,60.0,30.0
Ravichandran Ashwin,allrounder,46.44066666666667,35.15538461538462,40.798025641025646
Riyan Parag,allrounder,0.0,60.0,30.0
Trent Boult,bowler,0.0,33.02181818181818,16.51090909090909
Daryl Mitchell,allrounder,54.058,12.119999999999997,33.089
James Neesham,allrounder,55.882000000000005,14.594999999999995,35.2385
Rassie van der Dussen,batsman,55.928,60.0,57.964
Karun Nair,batsman,0.0,60.0,30.0
Obed McCoy,bowler,0.0,31.58307692307692,15.79153846153846
Prasidh Krishna,bowler,0.0,60.0,30.0
Yuzvendra Chahal,bowler,0.0,29.605945945945944,14.802972972972972
Navdeep Saini,bowler,0.0,38.70666666666666,19.35333333333333
Nathan Coulter-Nile,bowler,0.0,29.268888888888892,14.634444444444446
Kuldeep Sen,bowler,0.0,60.0,30.0
Abhishek Sharma,allrounder,0.0,60.0,30.0
Rahul Tripathi,batsman,50.248000000000005,60.0,55.124
Aiden Markram,allrounder,62.32666666666667,24.650000000000002,43.48833333333334
Nicholas Pooran,batsman,49.69333333333334,60.0,54.84666666666667
Kane Williamson,batsman,52.75066666666667,60.0,56.37533333333333
Washington Sundar,allrounder,47.18266666666668,29.801818181818177,38.49224242424243
Shashank Singh,batsman,0.0,60.0,30.0
Romario Shepherd,allrounder,63.45866666666667,12.690000000000001,38.074333333333335
Priyam Garg,batsman,0.0,60.0,30.0
Bhuvneshwar Kumar,bowler,0.0,33.93767441860466,16.96883720930233
Shreyas Gopal,allrounder,0.0,60.0,30.0
Marco Jansen,allrounder,26.024,18.0,22.012
Sean Abbott,allrounder,31.766666666666666,19.01333333333333,25.389999999999997
Kartik Tyagi,bowler,0.0,60.0,30.0
Abdul Samad,allrounder,0.0,60.0,30.0
Umran Malik,bowler,0.0,17.685,8.8425
Fazalhaq Farooqi,bowler,0.0,60.0,30.0
Jagadeesha Suchith,allrounder,0.0,60.0,30.0
T Natarajan,bowler,0.0,40.53,20.265
