team,overall_avg_score,avg_score_last_5,avg_score_last_10,pp_runs_avg,middle_runs_avg,death_runs_avg,top6_avg_runs,top6_avg_sr,win_pct_overall,win_pct_last_5,win_pct_last_10,avg_wickets_taken_per_match,avg_wickets_lost_per_match,nrr,batting_rating,bowling_rating
Chennai Super Kings,0.36356968945494506,0.8116438356164383,0.6146095717884135,0.3915666158557608,0.2285982864235286,0.8607958260389033,0.5159618387876981,0.0,1.0,0.3333333333333333,0.1666666666666666,1.0,0.0,0.9965734489973768,0.707073314022177,0.2969384661239108
Delhi Capitals,0.0,0.2979452054794518,0.5340050377833752,0.3947211336751037,0.0,0.053298010467363745,0.09458671204057274,0.15616219107739848,0.0,0.0,0.0,0.542387896085591,0.8152714209326435,0.09491914307905132,0.2087650875400533,0.9477542459019662
Gujarat Titans,0.7812367340706873,0.49657534246575363,0.9193954659949625,1.0,0.6792202279354239,0.8666293792921387,1.0,0.8054183115179532,0.8593762460662645,0.3333333333333333,0.4999999999999999,0.5500898865679243,0.41530309336343696,0.3059691183779458,0.6325902561753352,0.1585948903650135
Kolkata Knight Riders,0.011909607193112536,0.0,0.0,0.2624726652246124,0.10472740719923639,0.0,0.0,0.030170214810784718,0.5290082710976588,0.3333333333333333,0.3333333333333333,0.20986282873963122,0.7069468898348531,0.6526324869836566,0.0,1.0
Lucknow Super Giants,1.0,0.9006849315068496,1.0,0.9776601147588099,1.0,1.0,0.9650145337986242,1.0,0.6210989730668829,0.0,0.3333333333333333,0.5160671807850953,1.0,0.0,1.0,0.0
Mumbai Indians,0.3402429696183992,0.6369863013698631,0.7858942065491183,0.32269529746028613,0.3089121215017141,0.6779985122657225,0.19212948525850596,0.13261243699126052,0.8507709647250663,0.3333333333333333,0.8333333333333331,0.9057818106611399,0.6832041610020282,1.0,0.5734910638757503,0.44346758063958336
Punjab Kings,0.3269885285532809,0.4143835616438356,0.7506297229219141,0.5900201831268898,0.3676605126856919,0.2764517537476355,0.3148819066434685,0.3561324339224191,0.046364230656547094,0.3333333333333333,0.4999999999999999,0.0,0.9787222164236532,0.11395296962621565,0.4097760463271309,0.6965553012640995
Rajasthan Royals,0.16784631758674803,0.5719178082191779,0.6926952141057936,0.2792170803810506,0.2582352837166065,0.21815303673679406,0.30843401650822566,0.20332497641461425,0.319366410359802,0.3333333333333333,0.0,0.025542016091995225,0.7763039853012887,0.207090098579898,0.46515019948610187,0.7789090500609915
Royal Challengers Bengaluru,0.14215449973857755,0.5616438356164383,0.42317380352644807,0.0,0.21349462175150186,0.46616044491171893,0.352961921923333,0.16251489830835172,0.27644319150518043,1.0,1.0,0.23980544214618338,0.6062988883793946,0.35059226464939386,0.44862328596754547,0.5623690595749378
Sunrisers Hyderabad,0.1598996513203799,1.0,0.8085642317380354,0.5902166355123313,0.07454174562832758,0.28681594458046233,0.254729189068976,0.02970459588022608,0.024996206214882084,1.0,0.4999999999999999,0.34654364098857043,0.7215336695636898,0.33368721372842297,0.7681769254495716,0.7477911229304466
